yearID,awardID,teamID,teamName,lgID,divID,playerName
2006,Gold Glove,NYN,New York Mets,NL,E,Carlos Beltran
2006,Gold Glove,SDN,San Diego Padres,NL,W,Mike Cameron
2006,Gold Glove,ATL,Atlanta Braves,NL,E,Andruw Jones
2006,Gold Glove,CHN,Chicago Cubs,NL,C,Greg Maddux
2006,Gold Glove,CHN,Chicago Cubs,NL,C,Greg Maddux
2006,Gold Glove,LAN,Los Angeles Dodgers,NL,W,Greg Maddux
2006,Gold Glove,LAN,Los Angeles Dodgers,NL,W,Greg Maddux
2006,Gold Glove,SFN,San Francisco Giants,NL,W,Omar Vizquel
2006,Most Valuable Player,MIN,Minnesota Twins,AL,C,Justin Morneau
2006,Most Valuable Player,PHI,Philadelphia Phillies,NL,E,Ryan Howard
2006,Pitching Triple Crown,MIN,Minnesota Twins,AL,C,Johan Santana
2006,Rookie of the Year,DET,Detroit Tigers,AL,C,Justin Verlander
2006,Rookie of the Year,FLO,Florida Marlins,NL,E,Hanley Ramirez
2006,Silver Slugger,MIN,Minnesota Twins,AL,C,Justin Morneau
2006,Silver Slugger,NYA,New York Yankees,AL,E,Robinson Cano
2006,Silver Slugger,CHA,Chicago White Sox,AL,C,Joe Crede
2006,Silver Slugger,MIN,Minnesota Twins,AL,C,Joe Mauer
2006,Silver Slugger,BOS,Boston Red Sox,AL,E,David Ortiz
2006,Silver Slugger,CHA,Chicago White Sox,AL,C,Jermaine Dye
2006,Silver Slugger,LAA,Los Angeles Angels of Anaheim,AL,W,Vladimir Guerrero
2006,Silver Slugger,BOS,Boston Red Sox,AL,E,Manny Ramirez
2006,Silver Slugger,NYA,New York Yankees,AL,E,Derek Jeter
2006,Silver Slugger,PHI,Philadelphia Phillies,NL,E,Ryan Howard
2006,Silver Slugger,PHI,Philadelphia Phillies,NL,E,Chase Utley
2006,Silver Slugger,FLO,Florida Marlins,NL,E,Miguel Cabrera
2006,Silver Slugger,ATL,Atlanta Braves,NL,E,Brian McCann
2006,Silver Slugger,NYN,New York Mets,NL,E,Carlos Beltran
2006,Silver Slugger,COL,Colorado Rockies,NL,W,Matt Holliday
2006,Silver Slugger,WAS,Washington Nationals,NL,E,Alfonso Soriano
2006,Silver Slugger,CHN,Chicago Cubs,NL,C,Carlos Zambrano
2006,Silver Slugger,NYN,New York Mets,NL,E,Jose Reyes
2007,Cy Young Award,CLE,Cleveland Indians,AL,C,CC Sabathia
2007,Cy Young Award,SDN,San Diego Padres,NL,W,Jake Peavy
2007,Gold Glove,BOS,Boston Red Sox,AL,E,Kevin Youkilis
2007,Gold Glove,DET,Detroit Tigers,AL,C,Placido Polanco
2007,Gold Glove,SEA,Seattle Mariners,AL,W,Adrian Beltre
2007,Gold Glove,DET,Detroit Tigers,AL,C,Ivan Rodriguez
2007,Gold Glove,MIN,Minnesota Twins,AL,C,Torii Hunter
2007,Gold Glove,CLE,Cleveland Indians,AL,C,Grady Sizemore
